-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0625, 108.4121, 40.4298, 6.7954, 54.1461
-32.0898, 108.3963, 40.4669, 6.6268, 54.1759
-32.1678, 108.3496, 40.5729, 6.1455, 54.2603
-32.2902, 108.2713, 40.7396, 5.3881, 54.3918
-32.4439, 108.1528, 40.975, 4.3734, 54.5691
-32.6328, 108.0018, 41.2444, 3.1692, 54.772
-32.8466, 107.8126, 41.5482, 1.8026, 54.9962
-33.0761, 107.5804, 41.8855, 0.3017, 55.2362
-33.3088, 107.2991, 42.2619, -1.3135, 55.4898
-33.5463, 106.9782, 42.6511, -2.9873, 55.7417
-33.7849, 106.6238, 43.0412, -4.6808, 55.9848
-34.0143, 106.2367, 43.4362, -6.3748, 56.2181
-34.2369, 105.8322, 43.8136, -8.019, 56.4313
-34.4399, 105.4123, 44.1847, -9.6037, 56.6275
-34.6053, 104.9751, 44.5708, -11.1308, 56.8118
-34.7752, 104.5827, 44.8719, -12.4586, 56.958
-34.8896, 104.1932, 45.1948, -13.6905, 57.0969
-34.9939, 103.8709, 45.4383, -14.682, 57.1981
-35.0915, 103.6389, 45.585, -15.3878, 57.2588
-35.1253, 103.4622, 45.7295, -15.8969, 57.31
-35.1417, 103.4055, 45.7704, -16.0634, 57.3285
-35.0571, 103.564, 45.7916, -16.131, 57.2661
-34.8288, 104.0293, 45.8321, -16.3007, 57.0809
-34.4711, 104.7618, 45.9084, -16.584, 56.7968
-34.0101, 105.7318, 46.0207, -16.9722, 56.4327
-33.4834, 106.9195, 46.1499, -17.4347, 56.0013
-32.904, 108.2837, 46.3217, -17.9914, 55.5286
-32.3143, 109.8079, 46.5063, -18.5987, 55.0155
-31.7059, 111.4386, 46.7578, -19.3049, 54.5093
-31.1093, 113.15, 47.0579, -20.0758, 54.0026
-30.5386, 114.9062, 47.4089, -20.8997, 53.5042
-30.033, 116.6946, 47.7609, -21.7102, 53.0268
-29.5709, 118.4512, 48.1619, -22.5441, 52.5759
-29.1607, 120.1413, 48.5965, -23.3717, 52.1622
-28.811, 121.7283, 49.0427, -24.162, 51.7732
